date,determined,Inc_deter,undetermined,death
1/16/2020,4,4,0,2
1/17/2020,62,58,0,2
1/18/2020,121,59,0,3
1/19/2020,198,77,0,4
1/20/2020,291,93,54,6
1/21/2020,440,149,37,9
1/22/2020,571,131,393,17
1/23/2020,830,259,1072,25
1/24/2020,1287,457,1965,41
1/25/2020,1985,698,2684,56
1/26/2020,2761,776,5794,80
1/27/2020,4535,1774,6973,106
1/28/2020,5397,862,9239,132
1/29/2020,7735,2338,12167,170
1/30/2020,9720,1985,15238,213
1/31/2020,11821,2101,17988,259
2/1/2020,14411,2590,19544,304
2/2/2020,17238,2827,21558,361
2/3/2020,20471,3233,23214,425
2/4/2020,24363,3892,23260,491
2/5/2020,28060,3697,24702,564
2/6/2020,31211,3151,26359,637
2/7/2020,34598,3401,27657,723
2/8/2020,37251,2657,28942,812
